"Submission Date","Discord handle","What days can you make (select all you could attend), I'll do my best to get everyone into one of the sessions. If you select to be in multiple sessions, I will add you into open slots after I've put everyone I can into a session.","I'd like to be in multiple sessions if possible."
"2025-07-24 18:29:20",NoParking,"Monday August 11th
Monday August 18th
Tuesday August 26th",Yes
"2025-07-21 16:32:35",Sneeky_Peet,"Thursday August 7th
Monday August 11th
Monday August 18th
Tuesday August 26th",Yes
"2025-07-20 21:23:59",MrGir,"Thursday August 7th
Monday August 11th
Monday August 18th
Tuesday August 26th",Yes
"2025-07-20 21:05:44",Articoss,"Thursday August 7th
Monday August 11th
Monday August 18th",No
"2025-07-20 20:50:39",Chvckles,"Thursday August 7th
Monday August 11th
Tuesday August 26th",Yes
"2025-07-20 20:04:47","WÆLE (Jenny)","Monday August 11th",
"2025-07-20 20:02:47",Lololannd,"Monday August 18th
Tuesday August 26th",Yes
"2025-07-20 20:01:46",ZackAttack07,"Thursday August 7th
Monday August 11th",Yes
"2025-07-20 18:20:34",maddiecat96,"Tuesday August 26th",No
"2025-07-20 17:38:59","Mike McFarland","Thursday August 7th
Monday August 11th
Monday August 18th
Tuesday August 26th",Yes
"2025-07-20 17:37:53","Truffle Shuffle","Thursday August 7th",
"2025-07-20 16:23:04",Bearded_librarian,"Monday August 11th",
"2025-07-20 16:02:38",Flashbarricade,"Thursday August 7th
Monday August 11th
Monday August 18th
Tuesday August 26th",Yes
"2025-07-20 15:50:38",Batac,"Monday August 11th
Tuesday August 26th",Yes
"2025-07-20 15:14:37",dino_rhino,"Thursday August 7th
Monday August 11th",Yes
